,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
73,6,4,15,9,4,7,1,4,1,0,0,39,39,0
74,62,4,15,9,2,10,2,4,1,0,0,19,39,0
75,10,4,11,8,4,8,3,4,1,0,0,39,26,0
76,23,4,7,11,2,1,0,4,1,0,0,39,39,0
77,50,0,0,5,2,0,0,4,1,0,0,1,39,0
78,1,4,1,6,4,8,3,4,0,0,0,21,39,0
79,14,2,5,3,2,5,0,4,1,0,0,39,39,0
80,1,4,11,8,4,12,1,4,1,0,0,29,39,0
81,35,4,9,12,2,8,0,4,1,0,0,39,5,0
82,29,4,11,8,2,8,5,4,0,0,0,39,39,0
83,42,4,11,8,2,12,0,4,1,0,0,47,39,0
84,27,4,11,8,0,3,1,4,0,109,0,39,39,1
85,36,4,11,8,0,12,3,4,0,0,0,34,39,0
86,32,2,11,8,2,11,0,4,1,0,0,39,39,1
87,16,4,12,13,2,10,0,4,1,0,0,49,39,0
88,13,4,6,4,4,12,1,4,1,0,0,39,39,0
89,26,1,10,15,4,10,1,4,0,0,0,49,39,1
90,40,4,8,10,2,10,0,4,1,0,0,39,39,0
91,20,4,15,9,0,3,4,4,0,0,0,39,39,0
92,11,4,15,9,0,7,4,2,0,0,0,24,39,0
93,13,4,11,8,2,12,5,1,0,0,24,34,0,0
94,17,2,9,12,2,11,0,4,1,0,0,39,39,1
95,12,2,15,9,4,6,1,4,1,0,0,49,39,0
96,31,6,10,15,2,10,0,4,1,0,51,59,39,1
97,20,4,15,9,2,12,0,4,1,0,0,47,39,1
98,31,4,7,11,0,4,4,4,0,0,0,39,9,0
99,15,1,11,8,4,8,3,2,1,0,0,39,39,0
100,59,4,12,13,2,4,0,4,1,0,0,39,39,1
101,27,4,9,12,2,4,0,4,1,111,0,59,39,1
102,30,6,12,13,4,10,1,4,0,0,0,49,39,0
103,3,4,15,9,4,13,3,4,0,0,0,39,39,0
104,12,4,11,8,4,3,1,4,1,0,0,39,39,0
105,15,5,11,8,2,3,0,4,1,97,0,39,39,1
106,0,0,0,5,4,0,3,4,0,119,0,31,39,0
107,13,4,1,6,4,6,3,4,1,0,0,39,39,0
108,14,2,11,8,4,1,1,4,0,0,0,39,39,0
109,25,4,11,8,2,6,0,4,1,0,0,39,39,0
110,7,4,9,12,4,12,2,4,1,0,0,39,39,0
111,21,4,14,14,2,10,0,4,1,0,0,39,39,1
112,39,6,11,8,2,8,0,4,1,0,50,49,2,1
113,11,4,15,9,2,12,5,4,0,68,0,24,39,0
114,19,4,11,8,4,7,3,4,0,0,0,39,39,0
115,36,4,6,4,2,6,0,4,1,0,0,49,39,0
116,39,5,15,9,2,12,0,4,1,0,0,49,39,0
117,32,2,8,10,2,3,0,2,1,0,0,39,39,1
118,38,4,15,9,2,12,0,4,1,0,0,55,39,0
119,5,4,11,8,4,3,1,4,1,0,0,40,39,0
120,4,4,15,9,4,8,3,4,0,0,0,39,39,0
121,23,4,9,12,2,4,0,4,1,0,0,59,39,0
122,13,4,9,12,4,4,3,2,1,0,0,39,11,0
123,12,7,9,12,2,10,0,4,1,0,0,49,39,1
124,2,4,15,9,4,8,3,2,1,0,0,34,39,0
125,30,4,9,12,2,4,5,4,0,0,0,39,39,1
126,3,4,15,9,4,1,3,4,0,0,36,27,39,0
127,14,4,7,11,2,1,0,4,1,0,0,39,39,1
128,18,0,11,8,2,0,0,4,1,0,0,39,39,0
129,22,4,15,9,0,3,1,4,1,0,0,39,39,0
130,11,4,7,11,4,12,1,4,0,0,0,59,39,0
131,7,4,11,8,4,8,1,4,0,0,43,39,39,0
132,21,6,11,8,2,3,0,4,1,70,0,34,39,0
133,20,4,9,12,2,12,0,4,1,0,0,49,39,0
134,29,4,7,11,0,13,1,2,0,0,0,35,39,0
135,21,1,12,13,2,10,0,4,1,0,0,39,20,1
136,26,6,11,8,2,3,0,4,1,0,0,59,39,0
137,10,4,8,10,2,1,5,4,0,0,0,34,39,0
138,3,4,15,9,4,12,3,4,1,0,0,19,39,0
139,32,4,15,9,2,3,0,1,1,0,0,39,39,1
140,44,5,11,8,2,3,0,4,1,0,0,39,39,0
141,10,4,15,9,4,12,3,4,0,0,0,39,39,0
142,2,4,15,9,4,8,3,4,1,0,0,29,26,0
143,28,4,8,10,4,10,1,4,0,0,23,39,39,1
144,53,4,15,9,4,13,2,4,1,0,0,39,39,0
145,14,4,11,8,4,14,4,2,0,0,0,29,39,0
146,5,4,15,9,2,8,0,4,1,0,0,23,39,0
147,19,4,11,8,6,8,4,4,0,0,0,23,39,0
148,47,4,1,6,2,3,0,4,1,0,67,39,39,0
149,26,0,15,9,0,0,1,4,0,0,0,39,39,0
150,30,2,15,9,0,1,4,4,0,0,0,37,26,0
151,17,4,11,8,4,1,1,4,0,0,0,39,39,0
152,16,4,9,12,4,4,2,1,0,0,0,39,30,0
153,4,4,11,8,4,3,3,4,1,0,0,34,39,0
154,35,0,11,8,0,0,1,4,1,0,0,44,39,1
155,31,4,11,8,2,3,0,4,1,0,0,45,39,0
156,6,4,9,12,4,6,1,4,1,0,0,39,39,0
157,54,6,15,9,5,12,4,2,1,0,44,1,39,0
158,12,4,11,8,0,3,1,4,1,0,0,59,39,0
159,25,4,9,12,5,8,2,2,1,0,0,49,39,0
160,51,0,3,1,0,0,1,4,0,0,0,19,39,0
161,8,4,11,8,4,8,4,4,0,0,0,39,39,0
162,27,5,12,13,0,4,4,1,0,0,0,39,39,0
163,11,4,11,8,4,4,1,1,0,0,0,39,9,0
164,28,6,12,13,2,12,0,4,1,0,0,39,39,1
165,19,4,15,9,0,8,4,4,0,0,0,39,26,0
166,22,1,7,11,4,4,1,4,1,0,0,41,39,0
167,29,7,12,13,6,11,4,4,1,0,0,39,39,0
168,1,4,1,6,4,6,3,4,1,0,0,15,39,0
169,49,2,8,10,6,10,1,4,0,0,0,19,39,0
170,10,4,11,8,4,8,1,4,1,0,56,39,39,0
171,11,7,11,8,2,11,0,4,1,0,0,39,39,0
172,34,4,15,9,2,12,0,4,1,0,55,39,39,1
173,10,4,9,12,4,3,1,4,1,0,0,49,39,0
174,11,7,9,12,2,10,0,4,1,0,0,39,39,1
175,10,4,11,8,3,12,4,4,0,0,0,24,39,0
176,4,4,11,8,4,3,3,2,1,0,0,39,39,0
177,17,4,11,8,4,6,1,2,1,0,0,39,39,0
178,1,4,11,8,4,8,3,4,1,0,0,11,39,0
179,16,4,9,12,2,10,0,4,1,0,0,64,39,0
180,27,2,15,9,2,4,0,2,1,0,0,37,39,1
181,26,4,15,9,0,1,1,4,0,0,0,39,39,0
182,13,4,15,9,4,3,1,2,1,0,0,44,39,0
183,23,4,5,3,2,7,0,4,1,0,0,39,26,1
184,20,1,15,9,2,1,0,4,1,0,0,41,39,1
185,17,4,11,8,2,1,0,2,1,0,0,39,39,0
186,24,6,9,12,0,4,1,4,0,0,0,39,39,0
187,36,0,9,12,0,0,1,4,0,0,0,49,39,0
188,14,4,12,13,2,10,5,4,0,0,0,49,39,0
189,41,7,10,15,2,10,0,4,1,0,0,0,39,1
190,21,4,15,9,0,7,1,2,0,0,0,27,39,0
191,7,4,15,9,2,7,0,4,1,0,0,39,39,0
192,24,2,9,12,2,3,0,2,1,0,0,39,39,0
193,30,4,15,9,2,13,0,4,1,0,0,44,39,0
194,24,1,9,12,2,13,0,4,1,0,0,23,39,0
195,6,4,4,2,2,14,2,4,1,0,0,39,26,0
196,19,4,15,9,0,3,1,4,1,0,0,39,39,0
197,23,1,12,13,4,4,1,4,0,108,0,54,39,1
198,18,4,12,13,2,10,2,4,1,94,0,39,39,1
199,7,6,11,8,4,12,1,4,1,0,0,39,39,0
200,9,4,12,13,4,10,1,4,0,0,49,39,39,0
201,2,0,11,8,4,0,3,4,1,0,0,39,22,0
202,34,4,9,12,2,4,0,4,1,0,0,49,39,1
203,25,2,15,9,4,10,1,4,0,0,13,39,39,0
204,20,7,11,8,0,1,4,4,0,0,0,34,39,0
205,1,4,1,6,4,12,3,4,0,0,0,39,39,0
206,19,4,9,12,2,8,0,2,1,94,0,35,39,1
207,18,4,11,8,0,3,1,4,1,0,0,59,39,0
208,41,5,11,8,2,12,5,4,0,111,0,34,39,1
209,0,4,1,6,4,12,3,4,0,0,0,11,39,0
210,27,2,11,8,2,14,0,2,1,0,0,39,39,0
211,20,4,11,8,2,3,0,4,1,0,0,39,39,1
212,18,4,15,9,4,12,1,0,0,0,0,39,39,0
213,43,4,11,8,2,3,0,1,1,0,0,39,39,0
214,37,5,5,3,2,7,0,4,1,0,0,39,39,1
215,20,4,9,12,4,4,1,2,1,0,0,59,39,1
216,33,4,7,11,0,12,1,4,0,0,0,39,39,0
217,21,4,9,12,2,12,0,4,1,0,0,49,31,0
218,28,4,9,12,2,10,0,4,1,0,0,54,39,0
219,8,4,0,5,4,3,1,4,1,0,0,39,39,0
220,14,4,15,9,2,6,0,4,1,0,0,39,39,0
221,47,0,3,1,0,0,1,4,1,0,0,39,39,0
222,73,4,11,8,4,8,1,2,1,0,70,39,39,0
223,37,4,11,8,2,1,0,2,1,0,0,19,39,0
224,36,2,13,0,4,7,1,4,0,0,0,34,39,0
225,1,4,11,8,4,12,3,4,0,0,0,39,39,0
226,43,0,0,5,0,0,1,0,0,0,0,9,39,0
227,49,6,11,8,2,5,0,4,1,12,0,49,39,0
228,58,4,8,10,6,1,1,4,0,0,0,19,4,0
229,48,4,11,8,0,1,1,4,0,0,0,39,39,0
230,18,4,1,6,5,14,1,2,1,62,0,39,39,0
231,24,4,11,8,0,12,4,2,0,0,0,37,39,0
232,8,4,15,9,4,1,1,4,1,0,0,41,39,0
233,16,4,15,9,0,3,2,3,0,0,0,39,39,0
234,11,4,14,14,4,10,1,4,1,0,0,54,39,1
235,42,7,11,8,2,8,0,4,1,0,0,39,39,0
236,23,7,15,9,4,1,1,4,0,0,0,37,39,0
237,24,4,9,12,2,4,0,4,1,0,0,49,20,1
238,21,2,12,13,2,4,0,4,1,0,0,69,39,1
239,6,4,11,8,4,14,3,4,1,0,0,39,39,0
240,23,4,9,12,2,10,0,4,1,0,0,39,39,1
241,24,6,11,8,2,8,5,4,0,0,0,19,39,0
242,7,7,7,11,2,11,0,4,1,0,0,49,39,0
243,3,0,15,9,4,0,3,4,1,0,0,19,39,0
244,21,4,15,9,0,3,1,4,1,0,41,39,39,0
245,39,4,11,8,2,1,0,4,1,0,0,34,0,0
246,41,4,11,8,2,1,0,4,1,0,0,44,39,1
247,15,4,11,8,4,8,1,4,0,0,0,33,39,0
248,23,4,7,11,2,13,0,4,1,0,55,59,39,1
249,28,4,11,8,2,1,0,4,1,0,0,39,0,0
250,24,4,14,14,2,10,5,4,0,0,0,39,39,1
251,25,4,9,12,2,1,5,2,0,0,0,39,39,0
252,42,2,0,5,6,8,4,2,0,0,0,29,39,0
253,2,2,15,9,4,1,3,4,1,0,0,39,39,0
254,41,4,15,9,4,14,1,4,1,0,0,19,39,0
255,25,6,11,8,2,5,0,1,1,0,0,39,1,1
256,3,4,11,8,4,8,3,4,0,0,0,39,39,0
257,15,4,11,8,5,8,1,4,0,0,0,29,39,0
258,28,4,8,10,6,4,1,4,0,0,0,44,39,0
259,33,4,5,3,0,3,1,4,1,0,0,39,39,0
260,19,4,9,12,0,10,3,4,0,0,0,39,39,0
261,28,4,11,8,2,12,0,4,1,0,0,59,39,0
262,0,4,1,6,4,8,3,4,1,0,0,11,39,0
263,42,4,15,9,2,12,0,4,1,68,0,39,39,0
264,9,4,1,6,2,3,0,4,1,0,0,39,39,0
265,20,5,15,9,2,4,0,1,1,0,0,73,37,1
266,2,0,15,9,4,0,3,4,1,0,0,23,2,0
267,47,4,11,8,2,4,0,4,1,0,0,39,39,1
268,16,4,9,12,4,10,1,4,0,0,0,44,39,0
269,16,4,11,8,2,3,5,4,0,0,0,39,39,1
270,44,4,11,8,2,4,0,4,1,0,0,39,39,1
271,0,4,6,4,4,8,3,4,1,6,0,23,39,0
272,33,6,12,13,2,5,0,4,1,36,0,94,39,0
273,10,2,12,13,4,10,3,4,1,0,0,34,39,0
274,13,4,11,8,0,10,3,4,0,0,0,39,39,0
275,26,4,11,8,2,6,0,2,1,0,0,39,39,0
276,27,4,15,9,2,3,0,4,1,94,0,39,39,1
277,18,4,15,9,4,4,1,4,0,0,0,39,39,0
278,8,4,15,9,4,13,3,4,0,0,0,39,39,0
279,7,4,15,9,2,7,5,4,0,94,0,47,39,1
280,5,4,9,12,4,10,1,4,0,0,0,14,11,0
281,25,2,15,9,2,3,0,4,1,81,0,39,39,1
282,17,4,7,11,0,12,4,2,0,0,0,44,39,0
283,43,4,9,12,0,10,1,4,0,0,0,41,39,0
284,4,4,11,8,4,6,3,4,1,0,0,39,39,0
285,40,1,12,13,2,12,0,4,1,111,0,39,39,1
286,24,4,14,14,2,10,0,4,1,0,0,59,39,1
287,33,4,15,9,0,8,1,4,1,0,0,44,39,0
288,8,4,9,12,4,4,1,4,0,0,0,39,39,0
289,33,4,5,3,2,3,0,4,1,0,0,39,7,0
290,19,4,9,12,2,10,0,4,1,0,0,44,39,0
291,14,4,11,8,0,10,1,4,0,0,0,39,39,0
292,12,2,9,12,4,11,1,4,1,0,0,55,39,0
293,4,4,15,9,4,12,3,4,1,0,0,44,39,0
294,10,4,9,12,4,13,4,2,0,0,0,39,39,0
295,48,4,11,8,2,14,0,4,1,0,0,15,39,0
296,20,5,9,12,0,12,1,4,0,0,0,59,39,0
297,22,0,12,13,2,0,5,1,0,60,0,39,0,0
298,7,4,11,8,4,3,3,4,1,0,0,39,39,0
299,21,4,11,8,0,12,1,4,1,0,0,78,39,0
300,31,4,9,12,2,1,0,4,1,97,0,39,39,1
301,4,4,15,9,4,8,1,1,0,0,0,24,39,0
302,14,4,11,8,2,14,0,4,1,0,0,44,39,1
303,38,4,11,8,2,12,0,4,1,70,0,39,39,1
304,7,4,15,9,2,1,5,1,0,0,0,39,25,0
305,26,4,11,8,0,1,1,4,0,0,0,39,39,0
306,9,4,7,11,4,13,1,4,1,0,0,44,39,0
307,29,4,7,11,4,10,1,4,0,0,0,32,39,0
308,18,4,7,11,2,1,0,4,1,0,0,39,39,1
309,24,5,15,9,2,5,0,4,1,0,0,53,39,1
310,9,4,9,12,4,12,1,4,1,0,0,39,39,0
311,17,4,12,13,2,4,0,1,1,94,0,34,36,1
312,2,0,15,9,4,0,3,2,0,0,0,24,39,0
313,19,6,9,12,0,10,1,2,0,0,0,39,39,1
314,5,4,15,9,4,12,3,4,1,0,0,14,39,0
315,7,4,15,9,4,7,1,4,1,0,0,39,39,0
316,60,6,15,9,2,12,0,4,1,0,0,39,39,0
317,5,4,4,2,2,7,2,4,0,0,0,39,26,0
318,12,4,15,9,4,13,1,4,0,0,0,39,39,0
319,45,4,11,8,6,8,1,4,0,0,0,23,39,0
320,22,6,11,8,2,4,0,4,1,0,0,39,39,0
321,26,4,15,9,2,3,0,4,1,0,19,49,39,0
322,18,4,11,8,0,14,1,4,1,0,0,44,39,0
323,12,4,1,6,4,4,1,4,0,0,0,39,39,0
324,59,6,12,13,2,3,0,4,1,0,0,9,39,0
325,46,6,11,8,2,5,0,4,1,0,0,44,39,0
326,6,0,8,10,4,0,3,2,0,0,0,14,39,0
327,26,4,15,9,2,10,5,4,0,0,50,49,39,1
328,41,6,11,8,2,6,0,4,1,0,0,39,39,0
329,49,4,11,8,4,14,1,4,1,24,0,54,39,0
330,24,4,15,9,4,3,1,2,1,0,0,44,39,0
331,9,4,9,12,4,1,1,4,1,0,0,39,39,0
332,30,4,8,10,4,8,1,4,1,0,0,39,39,0
333,38,2,0,5,2,1,0,4,1,0,0,39,39,0
334,36,4,11,8,2,14,0,4,1,0,0,39,39,0
335,0,4,4,2,4,8,2,4,1,0,0,47,26,0
336,13,4,11,8,4,3,2,4,1,0,0,39,39,0
337,32,4,12,13,4,10,1,4,1,0,0,59,39,0
338,2,4,11,8,4,12,4,2,1,0,0,29,14,0
339,28,4,11,8,2,8,0,2,1,0,0,39,39,0
340,9,4,7,11,4,12,1,4,1,0,0,39,39,0
341,21,4,8,10,2,3,0,4,1,94,0,39,39,1
342,19,7,11,8,2,11,0,4,1,94,0,39,39,1
343,16,4,11,8,4,5,1,4,1,0,0,19,39,0
344,5,7,15,9,4,11,3,2,0,0,0,39,39,0
345,26,6,9,12,4,12,1,4,1,0,0,41,39,0
346,50,0,1,6,2,0,0,4,1,0,0,7,39,0
347,13,0,8,10,0,0,4,4,0,0,0,39,39,0
348,39,4,7,11,3,8,1,4,1,0,0,24,20,0
349,14,4,9,12,4,10,3,4,1,0,0,24,39,0
350,16,4,9,12,2,4,0,4,1,0,0,39,39,1
351,9,4,11,8,2,8,0,4,1,0,0,39,39,0
353,29,2,1,6,2,14,0,4,1,0,0,29,39,0
354,42,0,9,12,2,0,0,4,1,0,0,39,39,1
355,21,1,11,8,2,1,0,4,1,0,0,39,39,1
356,48,4,1,6,6,8,4,3,1,0,0,39,39,0
357,23,4,8,10,2,13,0,4,1,0,0,39,39,1
358,25,4,11,8,2,1,5,4,0,0,0,34,39,0
359,9,6,6,4,2,3,0,4,1,0,0,39,32,0
360,19,4,0,5,2,8,5,4,0,0,0,23,39,0
361,45,4,12,13,2,10,0,4,1,0,0,39,39,1
362,26,4,9,12,2,14,0,4,1,0,0,44,39,0
363,26,4,9,12,0,4,1,4,1,0,23,44,39,1
364,5,4,11,8,3,12,1,4,1,0,0,54,39,0
365,11,4,11,8,2,3,0,4,1,0,0,39,39,0
366,39,6,15,9,2,12,0,4,1,0,0,44,39,0
367,5,4,7,11,4,12,1,4,0,0,0,14,39,0
368,40,4,9,12,0,4,1,4,0,0,0,44,39,1
369,22,4,11,8,0,12,4,4,0,0,0,39,39,0
370,9,1,15,9,4,1,4,4,0,0,0,14,39,0
371,0,4,1,6,4,8,3,4,1,0,0,9,39,0
372,23,7,8,10,2,7,0,4,1,0,0,37,39,1
373,28,4,11,8,2,7,0,2,1,0,0,39,39,0
374,27,4,11,8,4,3,1,2,1,0,0,39,39,0
375,3,2,15,9,4,1,3,4,0,0,0,9,39,0
376,16,4,11,8,2,3,5,4,0,0,0,39,39,0
377,6,4,15,9,4,12,1,4,1,0,0,39,39,0
378,29,6,12,13,0,4,1,4,1,0,0,29,39,0
379,21,4,11,8,2,12,0,4,1,0,0,49,39,0
380,37,4,11,8,0,14,1,4,1,0,0,39,39,0
381,29,4,4,2,0,3,1,4,0,0,77,44,39,0
382,8,4,15,9,2,3,0,4,1,0,0,39,39,0
383,29,4,15,9,0,12,1,4,0,0,0,39,39,0
384,19,2,15,9,2,14,5,4,0,0,0,39,39,0
385,6,4,11,8,4,8,1,4,0,0,0,24,39,0
386,12,4,11,8,5,7,1,4,1,0,0,39,39,0
387,27,4,15,9,2,1,5,4,0,0,81,5,39,1
388,2,4,15,9,4,1,3,4,0,0,0,15,39,0
389,2,4,11,8,4,8,2,4,0,0,0,39,39,0
390,18,4,11,8,2,8,5,4,0,0,0,39,39,1
392,29,6,7,11,5,3,1,4,1,0,0,39,39,0
393,17,7,9,12,2,4,0,4,1,97,0,44,0,1
394,17,4,11,8,4,8,1,4,0,0,0,34,39,0
395,27,4,15,9,2,13,0,4,1,0,0,39,39,0
396,28,4,15,9,0,6,4,4,0,0,0,39,39,0
397,3,0,11,8,4,0,2,4,0,0,0,34,39,0
398,8,4,9,12,2,4,0,4,1,0,0,54,39,1
399,35,5,9,12,2,4,0,4,1,0,0,49,39,1
400,3,4,15,9,4,6,3,4,1,0,0,39,39,0
401,11,4,15,9,4,8,1,4,0,0,0,39,39,0
402,33,7,9,12,2,11,0,4,1,0,0,39,39,1
403,17,4,8,10,0,13,1,4,0,0,0,63,39,0
404,11,4,5,3,2,6,0,3,1,0,67,39,33,0
405,24,4,12,13,2,4,0,4,1,0,55,64,39,1
406,11,4,11,8,2,1,0,4,1,0,0,39,39,0
407,29,6,11,8,2,3,0,4,1,0,0,24,39,0
408,11,0,15,9,2,0,5,4,0,0,50,39,39,1
409,15,4,15,9,2,4,0,4,1,0,0,49,39,0
410,24,2,15,9,0,8,1,2,0,0,0,23,39,0
411,7,4,11,8,4,6,4,2,0,0,0,39,39,0
412,16,4,15,9,0,4,4,4,0,0,0,39,39,0
413,29,4,10,15,2,4,0,4,1,111,0,59,39,1
414,14,7,15,9,2,7,0,4,1,0,0,39,39,0
415,18,4,2,7,0,3,1,4,1,0,0,49,39,1
416,35,4,3,1,2,7,0,4,1,0,0,39,26,0
417,13,4,1,6,4,8,3,4,0,0,0,18,39,0
418,17,2,1,6,5,7,1,2,1,0,0,39,39,0
419,17,7,11,8,0,14,4,4,0,0,0,39,39,0
420,3,4,15,9,2,12,0,4,1,0,0,29,39,0
421,0,4,1,6,4,6,3,4,1,28,0,17,39,0
422,15,7,9,12,2,4,5,4,0,0,0,39,39,1
423,12,4,11,8,0,5,1,4,1,0,0,39,39,0
424,16,4,0,5,4,3,4,4,0,0,0,34,39,0
425,8,4,11,8,2,14,0,4,1,0,0,59,39,0
426,19,1,12,13,4,10,1,4,1,0,15,39,39,0
427,6,4,11,8,4,6,1,4,1,0,0,70,6,0
428,46,5,11,8,2,4,0,4,1,0,0,39,39,1
429,30,2,12,13,2,10,0,4,1,0,0,39,39,0
430,63,0,11,8,6,0,1,4,1,0,0,23,39,0
431,0,0,1,6,4,0,3,4,1,0,0,39,39,0
432,23,6,9,12,3,10,1,4,0,27,0,39,39,0
433,13,4,7,11,2,8,5,4,0,0,0,24,39,1
434,10,4,15,9,4,3,3,1,1,0,56,39,30,0
435,16,4,12,13,2,10,0,4,1,0,0,49,39,1
436,17,2,11,8,4,5,1,2,1,3,0,59,39,0
437,17,2,15,9,4,11,1,4,0,0,0,39,39,0
438,6,4,15,9,2,1,0,4,1,0,0,39,39,0
439,25,2,15,9,2,1,5,4,0,0,0,39,39,0
440,12,4,9,12,4,10,1,4,1,0,0,39,39,0
441,28,4,11,8,0,1,1,4,0,0,0,27,39,0
442,7,1,11,8,4,2,3,4,1,0,0,39,39,0
443,27,4,15,9,2,10,0,4,1,0,0,39,39,1
444,10,4,6,4,4,3,2,4,1,0,0,39,26,0
445,3,4,15,9,4,12,1,4,1,0,0,34,39,0
446,27,4,11,8,6,4,4,2,0,0,0,39,39,0
447,34,4,11,8,2,3,0,0,1,0,0,39,39,0
448,3,4,11,8,2,7,0,4,1,0,0,39,39,0
449,0,0,1,6,4,0,3,4,0,0,0,4,39,0
450,2,4,11,8,4,7,3,2,0,0,0,39,39,0
451,28,5,15,9,2,3,0,4,1,0,0,54,39,1
452,43,4,11,8,2,3,0,4,1,0,0,39,39,1
453,25,4,7,11,2,4,0,2,1,0,0,39,0,1
454,27,6,11,8,2,12,5,4,0,0,0,39,39,1
455,23,4,8,10,2,7,0,1,1,0,0,39,39,1
456,13,4,11,8,2,4,5,4,0,0,0,39,39,0
457,21,4,15,9,2,14,0,2,1,0,0,49,39,0
458,6,4,11,8,2,14,0,4,1,0,0,59,39,0
459,15,0,15,9,2,0,0,4,1,0,0,39,39,0
460,27,4,7,11,4,5,3,4,1,0,0,39,39,0
461,37,2,11,8,2,14,0,2,1,0,0,39,39,0
462,15,4,9,12,2,10,0,4,1,0,0,49,39,0
463,33,4,3,1,3,3,4,4,1,0,0,39,39,0
